month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1992-04,94.7,13,160.3,44,82.4,6.4,28.4,32.9,25.1
1992-05,13.7,13,63.1,53,83.3,5.7,28.1,32.5,25.1
1992-06,38.4,14,162.8,52,82.7,5.5,28.0,32.0,24.9
1992-07,97.3,19,290.8,55,83.8,4.7,27.3,30.9,24.2
1992-08,31.0,11,76.1,46,81.1,5.7,27.8,31.4,24.3
1992-09,17.5,13,83.6,45,82.9,5.0,27.3,31.5,24.5
1992-10,45.5,20,233.2,48,82.0,4.5,27.4,31.4,24.3
1992-11,120.6,18,474.3,59,87.7,3.7,26.1,30.0,23.7
1992-12,105.7,23,502.7,60,90.3,3.4,25.5,29.2,23.4
1993-01,37.2,11,176.4,58,85.7,5.5,26.2,29.9,23.8
1993-02,27.0,8,69.2,50,80.5,8.5,26.7,31.4,23.8
1993-03,56.9,14,250.5,56,86.3,5.4,26.7,30.7,24.0
1993-04,56.7,20,283.9,51,84.5,6.4,27.6,31.9,24.4
1993-05,37.2,10,129.9,46,82.9,6.0,28.2,31.9,25.4
1993-06,29.4,17,115.5,50,80.9,6.2,28.5,31.9,25.4
1993-07,46.4,15,240.0,52,83.2,5.2,27.9,31.1,25.2
1993-08,53.5,11,106.8,51,79.4,7.4,28.6,32.1,25.4
1993-09,42.0,7,61.7,45,81.4,5.9,27.9,31.7,24.9
1993-10,62.7,13,175.5,51,84.3,5.2,27.5,31.6,24.7
1993-11,61.3,18,250.8,57,87.4,4.7,26.9,30.9,24.2
1993-12,67.6,19,308.5,57,87.4,4.2,26.5,30.3,24.0
1994-01,17.5,7,56.9,50,82.1,6.1,26.9,30.9,24.1
1994-02,26.3,15,133.5,53,84.5,6.4,27.0,31.6,24.0
1994-03,64.2,19,288.2,55,87.1,3.5,26.8,30.5,24.2
1994-04,46.3,15,154.0,54,84.8,5.8,27.9,31.9,24.8
1994-05,45.1,16,169.6,52,84.8,5.0,28.1,31.1,25.1
1994-06,61.1,14,184.7,55,83.5,6.0,28.1,31.3,25.2
1994-07,17.0,6,53.8,53,78.9,7.6,28.4,31.6,25.7
1994-08,15.5,12,45.1,52,80.0,6.5,28.1,31.9,25.2
1994-09,11.3,6,23.7,37,78.7,3.8,28.3,31.9,25.5
1994-10,35.4,11,84.7,43,81.5,4.5,27.9,32.1,24.6
